"","id","name","logo","output$form","played.home","played.away","played.total","wins.home","wins.away","wins.total","draws.home","draws.away","draws.total","loses.home","loses.away","loses.total","home","away","total","home","away","total"
"79",24,"Poland","https://media.api-sports.io/football/teams/24.png","WDWDD",2,3,5,1,1,2,1,2,3,0,0,0,2,2,4,1,1,2
"80",775,"Austria","https://media.api-sports.io/football/teams/775.png","LDL",1,2,3,0,0,0,0,1,1,1,1,2,0,1,1,2,2,4
"81",2,"France","https://media.api-sports.io/football/teams/2.png","WWDWWWL",4,3,7,4,1,5,0,1,1,0,1,1,11,2,13,4,1,5
"82",1,"Belgium","https://media.api-sports.io/football/teams/1.png","LWWWL",2,3,5,1,2,3,0,0,0,1,1,2,3,6,9,2,3,5
"83",773,"Slovakia","https://media.api-sports.io/football/teams/773.png","LWDL",1,3,4,0,1,1,1,0,1,0,2,2,0,3,3,0,6,6
"84",774,"Romania","https://media.api-sports.io/football/teams/774.png","LDL",2,1,3,0,0,0,1,0,1,1,1,2,1,1,2,2,2,4
"85",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","LLL",2,1,3,0,0,0,0,0,0,2,1,3,0,0,0,3,2,5
"86",777,"Turkey","https://media.api-sports.io/football/teams/777.png","LLW",1,2,3,0,1,1,0,0,0,1,1,2,0,2,2,1,3,4
"87",27,"Portugal","https://media.api-sports.io/football/teams/27.png","DDDWDWW",4,3,7,2,1,3,2,2,4,0,0,0,4,5,9,1,4,5
"88",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","LDL",2,1,3,0,0,0,1,0,1,1,1,2,2,0,2,4,1,5
"89",25,"Germany","https://media.api-sports.io/football/teams/25.png","WWWLWWWWLWDL",5,7,12,3,5,8,1,0,1,1,2,3,22,14,36,7,7,14
"90",1108,"Scotland","https://media.api-sports.io/football/teams/1108.png","LWWLLLLWWWDDLDL",7,8,15,3,2,5,1,2,3,3,4,7,12,6,18,10,15,25
"91",769,"Hungary","https://media.api-sports.io/football/teams/769.png","LWWWLLWLWWLDD",7,6,13,4,2,6,1,1,2,2,3,5,8,8,16,8,11,19
"92",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","WDDWLWWWDLWDD",6,7,13,4,2,6,2,3,5,0,2,2,14,13,27,5,10,15
"93",9,"Spain","https://media.api-sports.io/football/teams/9.png","WWWWWWDDWWDDWWDD",7,9,16,5,5,10,2,4,6,0,0,0,22,22,44,2,9,11
"94",3,"Croatia","https://media.api-sports.io/football/teams/3.png","WLWWDWDWLDWL",7,5,12,5,1,6,1,2,3,1,2,3,17,7,24,10,5,15
"95",768,"Italy","https://media.api-sports.io/football/teams/768.png","WWWWWWWWWWWWWWWDD",10,7,17,8,7,15,2,0,2,0,0,0,29,21,50,5,3,8
"96",778,"Albania","https://media.api-sports.io/football/teams/778.png","LWLWLWLWDL",5,5,10,2,2,4,1,0,1,2,3,5,8,8,16,8,6,14
"97",1091,"Slovenia","https://media.api-sports.io/football/teams/1091.png","DDLWWWLLWL",5,5,10,3,1,4,1,1,2,1,3,4,7,9,16,4,7,11
"98",21,"Denmark","https://media.api-sports.io/football/teams/21.png","DDWWDWWDLLWWWL",6,8,14,3,4,7,1,3,4,2,1,3,14,21,35,5,8,13
"99",14,"Serbia","https://media.api-sports.io/football/teams/14.png","DLWLWWWDWD",5,5,10,2,3,5,2,1,3,1,1,2,12,8,20,10,9,19
"100",10,"England","https://media.api-sports.io/football/teams/10.png","WWWWLWWWWDWWWWD",8,7,15,7,5,12,1,1,2,0,1,1,26,22,48,4,4,8
"101",24,"Poland","https://media.api-sports.io/football/teams/24.png","WWWWLDWWWWLDL",6,7,13,4,4,8,1,1,2,1,2,3,12,10,22,4,7,11
"102",1118,"Netherlands","https://media.api-sports.io/football/teams/1118.png","WLWWWWDWWWWL",7,5,12,5,4,9,0,1,1,2,0,2,19,13,32,8,3,11
"103",775,"Austria","https://media.api-sports.io/football/teams/775.png","LLWWWDWWWLWLWL",6,8,14,5,3,8,0,1,1,1,4,5,15,9,24,4,10,14
"104",2,"France","https://media.api-sports.io/football/teams/2.png","WWLWWWWDWWWDDD",7,7,14,5,4,9,2,2,4,0,1,1,18,14,32,6,6,12
"105",1,"Belgium","https://media.api-sports.io/football/teams/1.png","WWWWWWWWWWWWWWL",8,7,15,7,7,14,0,0,0,1,0,1,29,20,49,4,2,6
"106",773,"Slovakia","https://media.api-sports.io/football/teams/773.png","WLWLWDLWDWWLL",6,7,13,2,4,6,2,0,2,2,3,5,5,12,17,10,9,19
"107",774,"Romania","https://media.api-sports.io/football/teams/774.png","LWDWLWWDLLL",5,6,11,2,2,4,1,1,2,2,3,5,7,11,18,6,11,17
"108",772,"Ukraine","https://media.api-sports.io/football/teams/772.png","DWWWWWWDLWLWL",7,6,13,5,3,8,0,2,2,2,1,3,12,11,23,7,7,14
"109",777,"Turkey","https://media.api-sports.io/football/teams/777.png","WWWLWWWDDWLLL",7,6,13,4,3,7,1,1,2,2,2,4,8,11,19,5,6,11
"110",1104,"Georgia","https://media.api-sports.io/football/teams/1104.png","LLWLDDWLWL",6,4,10,2,1,3,2,0,2,2,3,5,4,4,8,3,9,12
"111",27,"Portugal","https://media.api-sports.io/football/teams/27.png","DDWWWLWWWLDL",6,6,12,2,4,6,3,0,3,1,2,3,14,15,29,7,6,13
"112",770,"Czech Republic","https://media.api-sports.io/football/teams/770.png","LWWLWWWLWDLWL",6,7,13,4,3,7,0,1,1,2,3,5,10,9,19,6,9,15
"113",25,"Germany","https://media.api-sports.io/football/teams/25.png","DLLD",2,2,4,0,0,0,2,0,2,0,2,2,2,1,3,2,5,7
"114",1108,"Scotland","https://media.api-sports.io/football/teams/1108.png","WLWW",2,2,4,2,1,3,0,0,0,0,1,1,5,5,10,2,2,4
"115",769,"Hungary","https://media.api-sports.io/football/teams/769.png","LWLDWW",3,3,6,3,0,3,0,1,1,0,2,2,6,3,9,1,5,6
"116",15,"Switzerland","https://media.api-sports.io/football/teams/15.png","WLWWLD",3,3,6,2,1,3,1,0,1,0,2,2,11,4,15,2,6,8
"117",9,"Spain","https://media.api-sports.io/football/teams/9.png","WWLL",2,2,4,1,1,2,0,0,0,1,1,2,8,4,12,3,4,7
